601,,指,ゆび,,finger
602,,指輪,ゆびわ,,finger ring
603,,夢,ゆめ,,dream
604,,揺れる,ゆれる,,"to shake,to sway"
605,,用,よう,,use
606,,用意,ようい,,preparation
607,,用事,ようじ,,things to do
608,,汚れる,よごれる,,to get dirty
609,,予習,よしゅう,,preparation for a lesson
610,,予定,よてい,,arrangement
611,,予約,よやく,,reservation
612,,寄る,よる,,to visit
613,,喜ぶ,よろこぶ,,to be delighted
614,,,よろしい,,"(respectful) OK,all right"
615,,理由,りゆう,,reason
616,,利用,りよう,,utilization
617,,両方,りょうほう,,both sides
618,,旅館,りょかん,,Japanese hotel
619,,留守,るす,,absence
620,,冷房,れいぼう,,air conditioning
621,,歴史,れきし,,history
622,,,レジ,,register
623,,,レポート/リポート,,report
624,,連絡,れんらく,,contact
625,,,ワープロ,,word processor
626,,沸かす,わかす,,"to boil,to heat"
627,,別れる,わかれる,,to separate
628,,沸く,わく,,"to boil, to grow hot,to get excited"
629,,訳,わけ,,"meaning,reason"
630,,忘れ物,わすれもの,,lost article
631,,笑う,わらう,,"to laugh,to smile"
632,,割合,わりあい,,"rate,ratio,percentage"
633,,割れる,われる,,to break
634,,泳ぎ方,およぎかた,,way of swimming
